seq,send_ts_ms,rtt_ms,est_oneway_ms
395,122556215.552137,10.834257,5.417128
396,122556237.547085,7.407067,3.703533
397,122556256.355312,6.095147,3.047573
398,122556289.596247,5.797408,2.898704
399,122556315.859354,7.209823,3.604911
400,122556372.087472,9.229869,4.614934
401,122556380.306461,5.536943,2.768471
402,122556392.209066,6.090836,3.045418
403,122556393.274479,8.657302,4.328651
404,122556399.976089,7.621353,3.810676
405,122556420.413846,7.08835,3.544175
406,122556423.774446,8.647435,4.323717
407,122556424.863696,11.211196,5.605598
408,122556425.926363,10.235938,5.117969
409,122556427.083591,9.113525,4.556762
410,122556646.968805,13.347535,6.673767
411,122556647.896764,16.261734,8.130867
412,122556648.972155,15.321466,7.660733
413,122556690.893421,8.153906,4.076953
414,122556720.435051,6.911301,3.45565
415,122556731.224033,5.904672,2.952336
416,122556774.316688,6.017905,3.008952
417,122556789.693657,5.842435,2.921217
418,122556901.485283,15.064652,7.532326
419,122556904.886946,12.868701,6.43435
420,122556919.862421,10.633455,5.316727
421,122556955.730904,7.835813,3.917906
422,122557022.206642,5.547386,2.773693
423,122557044.331117,9.683153,4.841576
424,122557192.983789,9.889686,4.944843
425,122557219.491065,12.794708,6.397354
426,122557220.563222,14.067293,7.033646
427,122557221.717094,13.026629,6.513314
428,122557222.83343,11.948277,5.974138
429,122557223.913357,10.898301,5.44915
430,122557230.710245,11.250826,5.625413
431,122557292.469757,11.852128,5.926064
432,122557299.282775,7.500272,3.750136
433,122557309.550249,6.898905,3.449452
434,122557363.183076,14.356445,7.178222
435,122557403.796815,6.320491,3.160245
436,122557536.306399,10.583122,5.291561
437,122557542.835087,7.630277,3.815138
438,122557594.149193,15.394628,7.697314
439,122557596.316627,13.298001,6.649
440,122557601.785625,7.846082,3.923041
441,122557766.830369,32.696222,16.348111
442,122557767.968191,31.674819,15.837409
443,122557771.196893,28.483984,14.241992
444,122557859.144295,12.047876,6.023938
445,122557867.759793,114.329716,57.164858
446,122557986.569062,12.343026,6.171513
447,122558062.549263,10.814527,5.407263
448,122558071.204356,7.012737,3.506368
449,122558081.9387,7.350813,3.675406
450,122558089.831798,5.868315,2.934157
451,122558100.760065,6.728861,3.36443
452,122558110.114429,5.824558,2.912279
453,122558127.405447,5.88171,2.940855
454,122558173.697394,9.263544,4.631772
455,122558360.683074,13.664376,6.832188
456,122558361.798709,12.62987,6.314935
457,122558362.907203,11.539142,5.769571
458,122558366.201901,8.258641,4.12932
459,122558423.870694,6.652228,3.326114
460,122558430.351036,7.85173,3.925865
461,122558431.400155,9.07594,4.53797
462,122558476.491494,6.754707,3.377353
463,122558540.740128,8.236077,4.118038
464,122558594.927602,5.84363,2.921815
465,122558613.814455,6.74688,3.37344
466,122558619.071892,5.982458,2.991229
467,122558623.490283,8.176125,4.088062
468,122558644.254761,6.547548,3.273774
469,122558652.407682,6.743376,3.371688
470,122558653.662748,7.663703,3.831851
471,122558738.461095,6.574752,3.287376
472,122558833.093587,6.591973,3.295986
473,122558875.251861,6.620078,3.310039
474,122558882.806383,6.57671,3.288355
475,122558888.124008,7.022341,3.51117
476,122558930.262834,6.054655,3.027327
477,122558981.572449,8.10961,4.054805
478,122558989.084849,6.225757,3.112878
479,122558998.823276,11.760905,5.880452
480,122559052.522843,6.710566,3.355283
481,122559164.075139,8.7894,4.3947
482,122559177.394558,5.883187,2.941593
483,122559182.818619,6.007788,3.003894
484,122559219.550752,10.64274,5.32137
485,122559224.050355,10.921468,5.460734
486,122559239.097908,6.083974,3.041987
487,122559446.557614,9.613125,4.806562
488,122559448.796426,10.821674,5.410837
489,122559449.867824,12.300701,6.15035
490,122559456.66087,7.826145,3.913072
491,122559488.538395,8.633993,4.316996
492,122559504.792785,9.169353,4.584676
493,122559523.094164,6.138747,3.069373
494,122559563.22042,12.287448,6.143724
495,122559700.777916,7.072167,3.536083
496,122559724.405709,5.899329,2.949664
497,122559738.55044,12.656994,6.328497
498,122559739.786511,11.51744,5.75872
499,122559744.508439,10.13568,5.06784
500,122559750.343337,6.751943,3.375971
501,122559774.891336,8.188865,4.094432
502,122559817.489854,7.334737,3.667368
503,122559858.670102,10.5115,5.25575
504,122559944.75816,10.463865,5.231932
505,122559988.617317,6.957861,3.47893
506,122559992.182297,7.947752,3.973876
507,122559993.269045,6.996425,3.498212
508,122559996.647013,5.826129,2.913064
509,122560043.970085,6.019673,3.009836
510,122560057.37712,5.947511,2.973755
511,122560059.719128,8.189624,4.094812
512,122560110.543926,6.128042,3.064021
513,122560185.062609,12.357788,6.178894
514,122560255.198161,8.946624,4.473312
515,122560276.994831,6.146636,3.073318
516,122560285.783005,8.100232,4.050116
517,122560289.041476,7.243028,3.621514
518,122560298.737436,8.450309,4.225154
519,122560331.849603,9.274927,4.637463
520,122560337.218557,6.339714,3.169857
521,122560545.692854,10.707843,5.353921
522,122560546.781712,10.84579,5.422895
523,122560548.910619,8.768135,4.384067
524,122560626.8466,5.960136,2.980068
525,122560722.535506,6.260343,3.130171
526,122561933.688204,8.250473,4.125236
